loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag
40000.0,40000.0,40000.0,1.0,11.8,885.75,2.0,14.0,1.0,130000.0,1.0,0.0,0.0,1.0,23.12,0.0,0.0,9.0,0.0,34209.0,49.9,28.0,0.0,39010.32,39010.32,1732.17,1732.17,989.68,742.49,0.0,0.0,0.0,885.75,0.0,1.0,0.0,0.0,0.0,260702.0,0.0,4.0,1.0,4.0,8.0,85891.0,83.0,0.0,1.0,23967.0,67.0,68500.0,0.0,2.0,0.0,5.0,28967.0,34291.0,49.9,0.0,0.0,159.0,156.0,24.0,8.0,4.0,24.0,19.0,0.0,4.0,4.0,4.0,9.0,12.0,4.0,12.0,4.0,9.0,0.0,0.0,0.0,1.0,100.0,25.0,0.0,0.0,340126.0,120100.0,68500.0,110626.0,0.0,0.0,0.0
21775.0,21775.0,21775.0,1.0,10.33,466.2,2.0,19.0,1.0,540000.0,1.0,0.0,0.0,1.0,9.23,0.0,2.0,20.0,0.0,77943.0,50.0,47.0,0.0,21215.09,21215.09,913.66,913.66,559.91,353.75,0.0,0.0,0.0,466.2,0.0,1.0,0.0,0.0,0.0,1147677.0,0.0,4.0,1.0,2.0,10.0,71473.0,63.0,0.0,0.0,21123.0,53.0,155800.0,1.0,4.0,3.0,2.0,60404.0,47635.0,54.3,0.0,0.0,189.0,483.0,60.0,10.0,8.0,61.0,0.0,0.0,6.0,10.0,6.0,7.0,16.0,13.0,23.0,10.0,20.0,0.0,0.0,0.0,1.0,95.7,33.3,0.0,0.0,1358479.0,149416.0,104300.0,118882.0,0.0,0.0,0.0
30000.0,30000.0,30000.0,0.0,8.19,942.73,3.0,8.0,2.0,64000.0,1.0,0.0,0.0,0.0,18.03,0.0,0.0,9.0,0.0,13633.0,30.7,15.0,0.0,28519.0,28519.0,1864.98,1864.98,1481.0,383.98,0.0,0.0,0.0,942.73,0.0,1.0,0.0,0.0,0.0,27293.0,0.0,2.0,0.0,2.0,13.0,12611.0,70.0,0.0,1.0,10210.0,43.0,44400.0,2.0,0.0,0.0,3.0,3033.0,28267.0,32.5,0.0,0.0,41.0,170.0,14.0,13.0,0.0,14.0,13.0,0.0,3.0,3.0,4.0,7.0,3.0,6.0,11.0,3.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,63830.0,27293.0,41900.0,18000.0,0.0,0.0,0.0
7000.0,7000.0,7000.0,0.0,15.02,242.73,0.0,4.0,1.0,55000.0,1.0,0.0,0.0,9.0,5.94,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,6687.83,6687.83,476.7,476.7,312.17,164.53,0.0,0.0,0.0,242.73,0.0,1.0,0.0,0.0,209.0,198053.0,1.0,1.0,1.0,1.0,3.0,9901.0,99.0,0.0,0.0,0.0,90.0,1000.0,0.0,3.0,1.0,1.0,66018.0,0.0,0.0,0.0,0.0,78.0,191.0,59.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,206000.0,9901.0,0.0,10000.0,0.0,0.0,0.0
34000.0,34000.0,34000.0,0.0,6.46,1041.45,3.0,16.0,1.0,72000.0,1.0,0.0,0.0,1.0,16.17,0.0,0.0,6.0,0.0,34035.0,90.0,12.0,0.0,32278.55,32278.55,2064.6,2064.6,1721.45,343.15,0.0,0.0,0.0,1041.45,0.0,1.0,0.0,0.0,104.0,230320.0,0.0,1.0,0.0,0.0,120.0,7024.0,27.0,0.0,0.0,24903.0,64.0,37800.0,0.0,1.0,0.0,0.0,38387.0,3765.0,90.0,0.0,0.0,168.0,225.0,59.0,59.0,2.0,59.0,15.0,0.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,275955.0,41059.0,37800.0,25981.0,0.0,1.0,0.0
16000.0,16000.0,16000.0,1.0,15.02,380.81,0.0,4.0,0.0,60000.0,1.0,0.0,0.0,0.0,11.52,0.0,0.0,8.0,0.0,4993.0,56.7,17.0,0.0,15819.46,15819.46,420.86,420.86,180.54,240.32,0.0,0.0,0.0,440.89,0.0,1.0,0.0,0.0,1097.0,82237.0,1.0,4.0,1.0,4.0,2.0,77244.0,64.0,0.0,1.0,4600.0,62.0,8800.0,2.0,4.0,0.0,5.0,10280.0,1400.0,76.7,0.0,0.0,182.0,55.0,18.0,2.0,0.0,18.0,17.0,1.0,1.0,3.0,1.0,3.0,11.0,4.0,6.0,3.0,8.0,0.0,0.0,0.0,1.0,94.1,100.0,0.0,0.0,94002.0,82237.0,6000.0,85202.0,0.0,0.0,0.0
4750.0,4750.0,4750.0,0.0,18.94,173.98,1.0,1.0,0.0,15900.0,2.0,0.0,0.0,0.0,23.32,0.0,0.0,3.0,0.0,8520.0,95.0,5.0,0.0,4550.42,4550.42,335.46,335.46,199.58,135.88,0.0,0.0,0.0,173.98,0.0,1.0,0.0,0.0,0.0,8520.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,7244.0,95.0,8944.0,0.0,0.0,1.0,0.0,2840.0,7244.0,100.0,0.0,0.0,232.0,211.0,52.0,52.0,0.0,70.0,9.0,0.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,8944.0,8520.0,7244.0,0.0,0.0,0.0,0.0
30000.0,30000.0,30000.0,1.0,14.47,705.38,0.0,5.0,2.0,78000.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,27289.0,96.1,9.0,0.0,29308.6,29308.6,1350.47,1350.47,691.4,659.07,0.0,0.0,0.0,705.38,0.0,1.0,0.0,0.0,0.0,32407.0,1.0,2.0,2.0,3.0,6.0,5118.0,72.0,0.0,0.0,17605.0,91.0,28400.0,0.0,3.0,0.0,3.0,8102.0,1111.0,96.1,0.0,0.0,130.0,154.0,45.0,6.0,0.0,45.0,19.0,0.0,2.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,35530.0,32407.0,28400.0,7130.0,0.0,1.0,0.0
12800.0,12800.0,12800.0,0.0,13.56,434.75,0.0,0.0,1.0,80000.0,1.0,0.0,0.0,0.0,44.67,0.0,0.0,15.0,0.0,26805.0,65.7,39.0,0.0,12216.5,12216.5,845.39,845.39,583.5,261.89,0.0,0.0,0.0,434.75,0.0,1.0,1.0,0.0,0.0,472388.0,2.0,5.0,2.0,4.0,1.0,108010.0,85.0,0.0,0.0,13444.0,77.0,40800.0,2.0,9.0,2.0,4.0,31493.0,2245.0,88.2,0.0,0.0,136.0,136.0,25.0,1.0,1.0,25.0,1.0,0.0,3.0,6.0,4.0,4.0,26.0,9.0,12.0,6.0,15.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,513570.0,134815.0,19100.0,117327.0,0.0,0.0,0.0
8000.0,8000.0,8000.0,0.0,24.37,315.42,4.0,25.0,2.0,65000.0,2.0,0.0,0.0,0.0,36.56,1.0,0.0,16.0,0.0,16725.0,44.5,34.0,1.0,7690.99,7690.99,609.18,609.18,309.01,300.17,0.0,0.0,0.0,315.42,0.0,1.0,0.0,0.0,0.0,60709.0,1.0,3.0,0.0,1.0,15.0,43984.0,80.0,1.0,2.0,4971.0,66.0,37600.0,2.0,2.0,1.0,3.0,3794.0,13680.0,51.3,0.0,0.0,100.0,264.0,5.0,5.0,0.0,5.0,6.0,1.0,7.0,12.0,7.0,17.0,5.0,13.0,29.0,12.0,16.0,0.0,0.0,1.0,1.0,94.1,14.3,0.0,0.0,92619.0,60709.0,28100.0,55019.0,0.0,0.0,0.0
