loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag
7200.0,7200.0,7200.0,0.0,15.61,251.75,0.0,4.0,1.0,50000.0,0.0,4.0,0.0,0.0,20.35,0.0,0.0,6.0,0.0,13823.0,69.1,12.0,1.0,0.0,0.0,5688.44,5688.44,3584.45,1450.03,0.0,653.96,117.6192,251.75,0.0,1.0,0.0,0.0,0.0,34037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,3.0,5673.0,0.0,0.0,0.0,0.0,68.0,65.0,16.0,10.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,6.0,3.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,49146.0,34037.0,0.0,29146.0,0.0,0.0,0.0
6725.0,6725.0,6725.0,0.0,15.61,235.14,0.0,10.0,0.0,30000.0,1.0,1.0,0.0,3.0,20.2,1.0,0.0,7.0,0.0,2081.0,38.5,13.0,0.0,0.0,0.0,8415.77,8415.77,6725.0,1690.77,0.0,0.0,0.0,1596.71,0.0,1.0,0.0,0.0,0.0,15134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,4.0,2162.0,819.0,71.8,0.0,0.0,98.0,87.0,12.0,12.0,0.0,25.0,10.0,1.0,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,7.0,0.0,0.0,0.0,2.0,76.9,50.0,0.0,0.0,21883.0,15134.0,2900.0,16483.0,0.0,0.0,0.0
9600.0,9600.0,9600.0,0.0,7.14,297.04,3.0,22.0,1.0,51996.0,0.0,1.0,0.0,0.0,24.6,0.0,1.0,18.0,0.0,8179.0,16.9,28.0,1.0,0.0,0.0,10709.316558669609,10709.32,9600.0,1094.32,15.000000054488002,0.0,0.0,320.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,7000.0,3250.0,0.0,11.34,230.3,0.0,5.0,2.0,45000.0,0.0,1.0,0.0,9.0,9.92,0.0,1.0,16.0,1.0,1767.0,34.6,26.0,1.0,0.0,0.0,8181.311416144894,3798.47,7000.0,1181.31,0.0,0.0,0.0,2889.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19500.0,19500.0,9232.12,0.0,9.76,627.02,2.0,18.0,0.0,90000.0,0.0,1.0,0.0,0.0,1.95,0.0,0.0,3.0,0.0,8629.0,17.6,21.0,1.0,0.0,0.0,22572.516597646005,10588.37,19500.0,3072.52,0.0,0.0,0.0,635.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850.0,1850.0,1575.0,0.0,7.12,57.23,3.0,16.0,0.0,35000.0,0.0,1.0,0.0,4.0,11.59,0.0,0.0,9.0,0.0,6035.0,19.0,47.0,1.0,0.0,0.0,2053.0464292628,1747.86,1850.0,203.05,0.0,0.0,0.0,3.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18500.0,18500.0,425.0,0.0,9.51,592.7,2.0,18.0,1.0,31000.0,0.0,1.0,0.0,0.0,16.49,0.0,0.0,11.0,0.0,25946.0,37.9,32.0,1.0,0.0,0.0,20965.6191073057,481.64,18500.0,2465.62,0.0,0.0,0.0,1.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500.0,3500.0,690.3351264216701,0.0,14.12,119.83,1.0,6.0,5.0,45000.0,0.0,7.0,0.0,9.0,10.19,0.0,4.0,8.0,0.0,9771.0,86.4,16.0,1.0,0.0,0.0,4313.6938885890995,719.09,3500.0,813.69,0.0,0.0,0.0,119.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500.0,7500.0,0.005865432953999999,0.0,12.86,252.2,1.0,2.0,0.0,33600.0,0.0,8.0,0.0,0.0,8.93,0.0,4.0,5.0,0.0,5528.0,87.7,10.0,1.0,0.0,0.0,4982.33,0.0,3599.2,1192.41,14.999405233941,175.72,1.76,252.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,3000.0,0.0,0.0,17.03,107.01,5.0,21.0,1.0,70000.0,0.0,7.0,0.0,6.0,25.03,0.0,0.0,10.0,0.0,43878.0,94.8,35.0,1.0,0.0,0.0,3787.1428925355,0.0,3000.0,787.14,0.0,0.0,0.0,1005.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
