current path: saved_models/model_loan_May.02_10.44.30
Loading data
Loading data
Loading data
We use following environment for graphs:  ppdl_experiment
There are 0 adversaries in the training.
model 0 | epoch   1 | internal_epoch   1 |     0/ 4184 batches | lr 0.10 | ms/batch 161.06 | loss 2660.11 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |     1/ 4184 batches | lr 0.10 | ms/batch  2.35 | loss 29966165082112.00 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |     2/ 4184 batches | lr 0.10 | ms/batch  1.87 | loss 258900049920.00 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |     3/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss 2478580134228000768.00 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |     4/ 4184 batches | lr 0.10 | ms/batch  1.87 | loss 1323.63 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |     5/ 4184 batches | lr 0.10 | ms/batch  1.89 | loss  2.12 | ppl     8.35
model 0 | epoch   1 | internal_epoch   1 |     6/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss 102.59 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |     7/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.90 | ppl     6.67
model 0 | epoch   1 | internal_epoch   1 |     8/ 4184 batches | lr 0.10 | ms/batch  1.98 | loss  1.84 | ppl     6.28
model 0 | epoch   1 | internal_epoch   1 |     9/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.89 | ppl     6.59
model 0 | epoch   1 | internal_epoch   1 |    10/ 4184 batches | lr 0.10 | ms/batch  1.69 | loss 148881276928.00 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |    11/ 4184 batches | lr 0.10 | ms/batch  1.62 | loss 48680.29 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |    12/ 4184 batches | lr 0.10 | ms/batch  1.70 | loss  1.61 | ppl     5.01
model 0 | epoch   1 | internal_epoch   1 |    13/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss 119.40 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |    14/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.60 | ppl     4.95
model 0 | epoch   1 | internal_epoch   1 |    15/ 4184 batches | lr 0.10 | ms/batch  1.69 | loss  1.25 | ppl     3.49
model 0 | epoch   1 | internal_epoch   1 |    16/ 4184 batches | lr 0.10 | ms/batch  1.83 | loss  1.87 | ppl     6.48
model 0 | epoch   1 | internal_epoch   1 |    17/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.39 | ppl     4.03
model 0 | epoch   1 | internal_epoch   1 |    18/ 4184 batches | lr 0.10 | ms/batch  1.68 | loss  1.54 | ppl     4.67
model 0 | epoch   1 | internal_epoch   1 |    19/ 4184 batches | lr 0.10 | ms/batch  1.71 | loss  1.71 | ppl     5.54
model 0 | epoch   1 | internal_epoch   1 |    20/ 4184 batches | lr 0.10 | ms/batch  1.97 | loss  1.45 | ppl     4.26
model 0 | epoch   1 | internal_epoch   1 |    21/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.04 | ppl     2.83
model 0 | epoch   1 | internal_epoch   1 |    22/ 4184 batches | lr 0.10 | ms/batch  1.67 | loss  1.26 | ppl     3.53
model 0 | epoch   1 | internal_epoch   1 |    23/ 4184 batches | lr 0.10 | ms/batch  1.97 | loss  0.98 | ppl     2.68
model 0 | epoch   1 | internal_epoch   1 |    24/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  0.98 | ppl     2.68
model 0 | epoch   1 | internal_epoch   1 |    25/ 4184 batches | lr 0.10 | ms/batch  1.97 | loss  0.98 | ppl     2.67
model 0 | epoch   1 | internal_epoch   1 |    26/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss 700.03 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |    27/ 4184 batches | lr 0.10 | ms/batch  2.03 | loss  1.26 | ppl     3.51
model 0 | epoch   1 | internal_epoch   1 |    28/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  0.96 | ppl     2.60
model 0 | epoch   1 | internal_epoch   1 |    29/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.11 | ppl     3.04
model 0 | epoch   1 | internal_epoch   1 |    30/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss  1.12 | ppl     3.07
model 0 | epoch   1 | internal_epoch   1 |    31/ 4184 batches | lr 0.10 | ms/batch  1.83 | loss  1.20 | ppl     3.34
model 0 | epoch   1 | internal_epoch   1 |    32/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  0.95 | ppl     2.58
model 0 | epoch   1 | internal_epoch   1 |    33/ 4184 batches | lr 0.10 | ms/batch  1.97 | loss  1.26 | ppl     3.52
model 0 | epoch   1 | internal_epoch   1 |    34/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.93 | ppl     2.54
model 0 | epoch   1 | internal_epoch   1 |    35/ 4184 batches | lr 0.10 | ms/batch  1.99 | loss  0.93 | ppl     2.54
model 0 | epoch   1 | internal_epoch   1 |    36/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.11 | ppl     3.03
model 0 | epoch   1 | internal_epoch   1 |    37/ 4184 batches | lr 0.10 | ms/batch  2.01 | loss  0.94 | ppl     2.56
model 0 | epoch   1 | internal_epoch   1 |    38/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.30 | ppl     3.68
model 0 | epoch   1 | internal_epoch   1 |    39/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.36 | ppl     3.91
model 0 | epoch   1 | internal_epoch   1 |    40/ 4184 batches | lr 0.10 | ms/batch  1.97 | loss  0.91 | ppl     2.50
model 0 | epoch   1 | internal_epoch   1 |    41/ 4184 batches | lr 0.10 | ms/batch  1.98 | loss  1.51 | ppl     4.53
model 0 | epoch   1 | internal_epoch   1 |    42/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.99 | ppl     2.69
model 0 | epoch   1 | internal_epoch   1 |    43/ 4184 batches | lr 0.10 | ms/batch  1.75 | loss  0.99 | ppl     2.69
model 0 | epoch   1 | internal_epoch   1 |    44/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  1.00 | ppl     2.71
model 0 | epoch   1 | internal_epoch   1 |    45/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  1.29 | ppl     3.62
model 0 | epoch   1 | internal_epoch   1 |    46/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.11 | ppl     3.04
model 0 | epoch   1 | internal_epoch   1 |    47/ 4184 batches | lr 0.10 | ms/batch  2.05 | loss  0.91 | ppl     2.49
model 0 | epoch   1 | internal_epoch   1 |    48/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.91 | ppl     2.47
model 0 | epoch   1 | internal_epoch   1 |    49/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.05 | ppl     2.85
model 0 | epoch   1 | internal_epoch   1 |    50/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.20 | ppl     3.32
model 0 | epoch   1 | internal_epoch   1 |    51/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  0.89 | ppl     2.44
